type,days_for_shipping_(real),days_for_shipment_(scheduled),benefit_per_order,sales_per_customer,delivery_status,late_delivery_risk,category_id,category_name,customer_city,customer_country,customer_fname,customer_id,customer_lname,customer_segment,customer_state,customer_street,customer_zipcode,department_id,department_name,latitude,longitude,market,order_city,order_country,order_customer_id,order_date,order_id,order_item_cardprod_id,order_item_discount,order_item_discount_rate,order_item_id,order_item_product_price,order_item_profit_ratio,order_item_quantity,sales,order_item_total,order_profit_per_order,order_region,order_state,order_status,product_card_id,product_category_id,product_name,product_price,product_status,shipping_date,shipping_mode,order_year,order_month,order_day,delivery_days,order_weekday
DEBIT,2,1,23.04000092,80.0,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,Beverly,1908,Pugh,Consumer,PR,16 Golden Robin Mews,725.0,5,Golf,18.20574379,-66.37062073,LATAM,Gómez Palacio,México,1908,2017-02-11 23:05:00,52952,502,20.0,0.200000003,132369,50.0,0.289999992,2,100.0,80.0,23.04000092,Central America,Durango,COMPLETE,502,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,2017-02-13 23:05:00,First Class,2017,February,11,2,Saturday
PAYMENT,2,1,47.36999893,100.7799988,Late delivery,1,17,Cleats,Caguas,Puerto Rico,Ashley,236,Clark,Home Office,PR,7017 Clear Bay,725.0,4,Apparel,18.2475605,-66.02527618,Europe,Hayange,Francia,236,2015-10-08 22:43:00,19247,365,19.20000076,0.159999996,48103,59.99000168,0.469999999,2,119.9800034,100.7799988,47.36999893,Western Europe,Alsacia-Champaña-Ardenas-Lorena,PENDING_PAYMENT,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,2015-10-10 22:43:00,First Class,2015,October,8,2,Thursday
DEBIT,1,0,15.0,149.9600067,Late delivery,1,29,Shop By Sport,El Paso,EE. UU.,Brandon,5818,Smith,Corporate,TX,7958 Thunder Apple Street,79912.0,5,Golf,31.84699822,-106.5490112,Europe,Vincennes,Francia,5818,2015-06-07 18:10:00,10808,627,49.99000168,0.25,27045,39.99000168,0.100000001,5,199.9499969,149.9600067,15.0,Western Europe,Isla de Francia,COMPLETE,627,29,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,2015-06-08 06:10:00,Same Day,2015,June,7,0,Sunday
TRANSFER,2,1,10.85999966,23.62000084,Late delivery,1,40,Accessories,Oxnard,EE. UU.,Christopher,6992,Thompson,Corporate,CA,9375 Cozy Nook,93030.0,6,Outdoors,34.19825363,-119.1806412,Pacific Asia,Yakarta,Indonesia,6992,2016-01-11 10:51:00,25721,905,1.370000005,0.059999999,64412,24.98999977,0.460000008,1,24.98999977,23.62000084,10.85999966,Southeast Asia,Yakarta,PENDING,905,40,Team Golf Texas Longhorns Putter Grip,24.98999977,0,2016-01-13 10:51:00,First Class,2016,January,11,2,Monday
DEBIT,0,0,74.80000305,169.9900055,Shipping on time,0,48,Water Sports,Plymouth,EE. UU.,Mary,5679,Rodriguez,Home Office,MA,3702 Burning Passage,2360.0,7,Fan Shop,41.92736816,-70.7484436,LATAM,Matagalpa,Nicaragua,5679,2017-02-15 11:52:00,53194,1073,30.0,0.150000006,132910,199.9900055,0.439999998,1,199.9900055,169.9900055,74.80000305,Central America,Matagalpa,COMPLETE,1073,48,Pelican Sunstream 100 Kayak,199.9900055,0,2017-02-15 23:52:00,Same Day,2017,February,15,0,Wednesday
DEBIT,1,0,17.80999947,161.8699951,Late delivery,1,76,Women's Clothing,Caguas,Puerto Rico,Gwendolyn,17526,Guerrero,Corporate,PR,7962 Wishing Fox Harbour,725.0,4,Apparel,18.22627258,-66.03705597,Pacific Asia,Daca,Bangladés,17526,2017-12-15 19:41:00,73973,1363,53.95999908,0.25,177288,215.8200073,0.109999999,1,215.8200073,161.8699951,17.80999947,South Asia,Daca,COMPLETE,1363,76,Summer dresses,215.8200073,0,2017-12-16 07:41:00,Same Day,2017,December,15,0,Friday
DEBIT,6,4,9.0,299.9500122,Late delivery,1,17,Cleats,Caguas,Puerto Rico,Lisa,3872,Smith,Consumer,PR,1023 Rocky Hollow,725.0,4,Apparel,18.23762894,-66.37059784,LATAM,Vassouras,Brasil,3872,2015-05-27 02:35:00,10010,365,0.0,0.0,25002,59.99000168,0.029999999,5,299.9500122,299.9500122,9.0,South America,Río de Janeiro,COMPLETE,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,2015-06-02 02:35:00,Standard Class,2015,May,27,6,Wednesday
DEBIT,6,4,15.19999981,151.9600067,Late delivery,1,29,Shop By Sport,Dallas,EE. UU.,Nancy,10448,Gilbert,Consumer,TX,6540 Hidden Dale,75227.0,5,Golf,32.77589798,-96.68588257,Africa,Shinyanga,Tanzania,10448,2016-12-04 12:30:00,48195,627,8.0,0.050000001,120523,39.99000168,0.100000001,4,159.9600067,151.9600067,15.19999981,East Africa,Shinyanga,COMPLETE,627,29,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,2016-12-10 12:30:00,Standard Class,2016,December,4,6,Sunday
PAYMENT,6,2,22.47999954,94.47000122,Late delivery,1,3,Baseball & Softball,Chicago,EE. UU.,Amber,7978,Santos,Corporate,IL,8976 Wishing Quail Ramp,60626.0,2,Fitness,41.73286438,-87.55976105,Europe,Erlangen,Alemania,7978,2015-08-18 21:34:00,15750,37,10.5,0.100000001,39373,34.99000168,0.239999995,3,104.9700012,94.47000122,22.47999954,Western Europe,Bavaria,PENDING_PAYMENT,37,3,adidas Kids' F5 Messi FG Soccer Cleat,34.99000168,0,2015-08-24 21:34:00,Second Class,2015,August,18,6,Tuesday
DEBIT,2,1,48.0,100.0,Late delivery,1,24,Women's Apparel,Orange Park,EE. UU.,David,3042,Howell,Consumer,FL,8830 Lost View Circle,32073.0,5,Golf,30.18182945,-81.74115753,USCA,Los Angeles,Estados Unidos,3042,2016-07-25 05:19:00,39132,502,0.0,0.0,97678,50.0,0.479999989,2,100.0,100.0,48.0,West of USA ,California,COMPLETE,502,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,2016-07-27 05:19:00,First Class,2016,July,25,2,Monday
